0	0	0	1.03418723410159633e-18	0.00000000000000000e0	9.35072338686232812e-19	0.00000000000000000e0	-7.57131035855606628e-3	0.00000000000000000e0
0	0	1	2.91352071694353105e-19	1.70352425396843097e-19	2.93836572528436862e-19	-1.57657315932197349e-19	0.00000000000000000e0	0.00000000000000000e0
0	1	0	-1.08250550015263210e-17	8.33447468889766813e-2	0.00000000000000000e0	0.00000000000000000e0	2.66470778041196579e-2	-4.24167824816276474e-20
0	1	1	3.58066314192748055e-5	-9.91882176762968852e-3	-3.73186703972720954e-2	-3.45571050761864618e-1	3.73186703972720954e-2	3.45571050761864618e-1
0	-1	0	1.98082403727153903e-17	-8.33447468889766813e-2	0.00000000000000000e0	0.00000000000000000e0	2.66470778041196545e-2	1.81043488426254468e-19
0	-1	1	-3.58066314192761608e-5	9.91882176762968852e-3	3.73186703972720954e-2	3.45571050761864673e-1	3.73186703972720954e-2	3.45571050761864729e-1
1	0	0	0.00000000000000000e0	0.00000000000000000e0	9.45990180205727042e-18	-8.33447468889766813e-2	2.66470778041196545e-2	1.64838237356986737e-19
1	0	1	-3.73186703972720954e-2	-3.45571050761864618e-1	-3.58066314192748191e-5	9.91882176762968852e-3	3.73186703972720954e-2	3.45571050761864618e-1
1	1	0	-9.44852280104040788e-18	7.66896912056433538e-2	9.44852280104040942e-18	-7.66896912056433538e-2	5.56964099586138364e-2	-2.01170862379579086e-20
1	1	1	-2.29228483981468306e-2	6.40072271509516399e-2	-2.30055303327165103e-2	8.31511487640425734e-2	4.59283787308633479e-2	-1.47158375914994199e-1
1	-1	0	-3.25086693005119596e-17	-7.66896912056433538e-2	-3.25086693005119534e-17	-7.66896912056433538e-2	5.56964099586138364e-2	-5.07127932968720446e-20
1	-1	1	-2.30055303327165173e-2	8.31511487640425456e-2	2.29228483981468306e-2	-6.40072271509516122e-2	4.59283787308633479e-2	-1.47158375914994116e-1
-1	0	0	0.00000000000000000e0	0.00000000000000000e0	-2.12841802475022926e-17	8.33447468889766813e-2	2.66470778041196545e-2	-2.42958629711754329e-20
-1	0	1	3.73186703972720954e-2	3.45571050761864673e-1	3.58066314192760727e-5	-9.91882176762968852e-3	3.73186703972720954e-2	3.45571050761864729e-1
-1	1	0	-6.07014622442730506e-17	7.66896912056433538e-2	-6.07014622442730506e-17	7.66896912056433538e-2	5.56964099586138364e-2	1.40619029110749877e-20
-1	1	1	2.30055303327165103e-2	-8.31511487640425456e-2	-2.29228483981468306e-2	6.40072271509516122e-2	4.59283787308633479e-2	-1.47158375914994116e-1
-1	-1	0	1.87529604216866228e-17	-7.66896912056433538e-2	-1.87529604216866259e-17	7.66896912056433538e-2	5.56964099586138364e-2	-2.63984102618397567e-20
-1	-1	1	2.29228483981468271e-2	-6.40072271509516122e-2	2.30055303327165173e-2	-8.31511487640424901e-2	4.59283787308633479e-2	-1.47158375914994061e-1
