PID PPID PGID PSR %CPU %MEM RSS STAT COMMAND
149 2 0 22 0.0 0.0 0 S 22]
150 2 0 22 0.0 0.0 0 S 22]
152 2 0 22 0.0 0.0 0 I< 22:0H-events_highpri]
153 2 0 23 0.0 0.0 0 S 23]
154 2 0 23 0.0 0.0 0 S 23]
155 2 0 23 0.0 0.0 0 S 23]
156 2 0 23 0.0 0.0 0 S 23]
158 2 0 23 0.0 0.0 0 I< 23:0H-events_highpri]
159 2 0 24 0.0 0.0 0 S 24]
160 2 0 24 0.0 0.0 0 S 24]
161 2 0 24 0.0 0.0 0 S 24]
162 2 0 24 0.0 0.0 0 S 24]
164 2 0 24 0.0 0.0 0 I< 24:0H-events_highpri]
165 2 0 25 0.0 0.0 0 S 25]
166 2 0 25 0.0 0.0 0 S 25]
167 2 0 25 0.0 0.0 0 S 25]
168 2 0 25 0.0 0.0 0 S 25]
170 2 0 25 0.0 0.0 0 I< 25:0H-events_highpri]
171 2 0 26 0.0 0.0 0 S 26]
172 2 0 26 0.0 0.0 0 S 26]
173 2 0 26 0.0 0.0 0 S 26]
174 2 0 26 0.0 0.0 0 S 26]
176 2 0 26 0.0 0.0 0 I< 26:0H-events_highpri]
177 2 0 27 0.0 0.0 0 S 27]
178 2 0 27 0.0 0.0 0 S 27]
179 2 0 27 0.0 0.0 0 S 27]
180 2 0 27 0.0 0.0 0 S 27]
182 2 0 27 0.0 0.0 0 I< 27:0H-events_highpri]
183 2 0 28 0.0 0.0 0 S 28]
184 2 0 28 0.0 0.0 0 S 28]
185 2 0 28 0.0 0.0 0 S 28]
186 2 0 28 0.0 0.0 0 S 28]
188 2 0 28 0.0 0.0 0 I< 28:0H-events_highpri]
189 2 0 29 0.0 0.0 0 S 29]
190 2 0 29 0.0 0.0 0 S 29]
191 2 0 29 0.0 0.0 0 S 29]
192 2 0 29 0.0 0.0 0 S 29]
194 2 0 29 0.0 0.0 0 I< 29:0H-events_highpri]
195 2 0 30 0.0 0.0 0 S 30]
196 2 0 30 0.0 0.0 0 S 30]
197 2 0 30 0.0 0.0 0 S 30]
198 2 0 30 0.0 0.0 0 S 30]
200 2 0 30 0.0 0.0 0 I< 30:0H-events_highpri]
201 2 0 31 0.0 0.0 0 S 31]
202 2 0 31 0.0 0.0 0 S 31]
203 2 0 31 0.0 0.0 0 S 31]
204 2 0 31 0.0 0.0 0 S 31]
206 2 0 31 0.0 0.0 0 I< 31:0H-kblockd]
207 2 0 32 0.0 0.0 0 S 32]
208 2 0 32 0.0 0.0 0 S 32]
209 2 0 32 0.0 0.0 0 S 32]
210 2 0 32 0.0 0.0 0 S 32]
212 2 0 32 0.0 0.0 0 I< 32:0H-kblockd]
213 2 0 33 0.0 0.0 0 S 33]
214 2 0 33 0.0 0.0 0 S 33]
215 2 0 33 0.0 0.0 0 S 33]
216 2 0 33 0.0 0.0 0 S 33]
218 2 0 33 0.0 0.0 0 I< 33:0H-events_highpri]
219 2 0 34 0.0 0.0 0 S 34]
220 2 0 34 0.0 0.0 0 S 34]
221 2 0 34 0.0 0.0 0 S 34]
222 2 0 34 0.0 0.0 0 S 34]
224 2 0 34 0.0 0.0 0 I< 34:0H-events_highpri]
225 2 0 35 0.0 0.0 0 S 35]
226 2 0 35 0.0 0.0 0 S 35]
227 2 0 35 0.0 0.0 0 S 35]
