attempt	clock	state_bytes	state_file_sha256	payload_sha256	attempt_file_sha256	record_file_sha256	integration_seconds	observer_seconds	error_ratio_l2	error_ratio_h1	rhs_calls	cache_hits	cache_misses	steady_allocations	observation_status
15	960	1366033529	82a22ccb63ea11e7628ae05ed153e0f61d2eb9ffe29cb905f813506761b708c7	67eb66d8fd27cb4239443758ce20844a83e60c47f7be67943cac6cc76f0e3cf7	dcb6b9f277f0488267bec10fdb86e3cffaec5585d23b42b9851b1681987700be	07731f4253bffda430de1bfecff6c40b1b0ee984f1810965ee61edb6db69ae79	382.299154733		0.005544495769844181	0.055577845171234395	12	7	5	0	NotScheduled
16	1024	1366033529	d62fdf81db2547e6343e21e6be6faabfdf0130a8e686d771785434fe2bd16365	bb12be8f266268813ffbeddc3c78659bc84efb2361f14dfd471e5da354fc2324	50eb25468dbed9ec00898b7b634b4736b7ef7876110ccf693f334745b67cdb64	f9c27cbfabd5937d3f07c783593d054b350dd33092394c3fadc44e66015b93a7	404.451239914	290.25749644	0.00564494752865955	0.05113475183638804	12	7	5	0	Scheduled
17	1088	1366033529	5ce6a433cb45c19561eec3ca653b6062cba40ef5537b3687e8081f43c78b797e	ee970eca7a3a4bdab948242508decf25db181bdb66071b371024646c500d51f5	f359e55ba0cd6222a1ba2bf165e4cf45023e757c258114cc40ed32a3b1093188	fb9d20028904c876b1af6720f35db1ba1895786579cd7f38b1110ebaa7ffcafb	368.890048795		0.006289161236348788	0.05329225703863552	12	7	5	0	NotScheduled
18	1152	1366033529	6eab4cd0980c612bedb83790412c80fb9cab06dede669e03aacc644330467df8	836bc42ce42ce056d44b56d063fa41d9ca60144e8300bca199db51a6d007d7a0	9064f09f1233321e365ef72e73bb50f0c57cf9d5ed830dbc006ce12b2af12f72	c719c4c8cc62f1b3ea955c8b83281ba724395905ed0c7bb7948a6932cf154dfb	365.769737201		0.007343197331795595	0.06026467584125436	12	7	5	0	NotScheduled
19	1216	1366033529	9927e92775d09bd5c620c2852913e31c36c64bcd1add47c401302d029e32c2ca	28a244c7153b4f1572683a38b677cecdf71e1301287f7df128e1e391f4a9bac5	1daca76ae372b54be6af0d1f2a6db23ecc93fa136968c3777cc776055279ef54	137817a98ff2ba0b35f2352523c59295907fe0b85fa5522e46d0197498fa38a5	388.365875549		0.00866134424840523	0.07102846856201295	12	7	5	0	NotScheduled
20	1280	1366033529	a855ac8fc52eb2ccd26d3a064e912cbd7f6f447c404830553cc9df45c3ad2d7d	e58324e713c85d64ca8867748282586d0c9d687fc33abd156526cb422bad6ff8	943ab7438430695c74bf447800cc405271804188d35e3fc499ab60bf13e72c1d	f0ae66ec7afb21c28793c5a768198c3d2ce54dfba12f12b5788e270206215e5e	394.410911234		0.009996643355961716	0.08377396945176252	12	7	5	0	NotScheduled
21	1344	1366033529	2bfb7ea11e346277fa3b9019588693292691f7de4fd030cc6d179f25bc8203ce	c1ee71a88fbed808f8e008d9b6e2869d0079cb08d98e233af66d349e42ad5285	f26242748000f92896f42aeca516a157ca166808537a1d03d0fe79e71312e25f	bab35fc39ac684c7810f6b97d5e90355958ba7a00047957af4b315830fbf360f	398.156635496		0.01103834118290193	0.09513996651489084	12	7	5	0	NotScheduled
22	1408	1366033529	08f8e87cc43cb556db0b0294486d6b9fc9c96bfe821a07f16a1fee4a6f4a235e	591ab2dc83488ae932175c14f31845f3838d251be9da3af15ea254f039e763de	a37ec5ba7c08a462ef436d3b7572e770037cfa188950feb20cd2405ca927a7ae	fd015087714bb847218d70da67f432e46b479f0f5c19bfe63cf7e3550de4280a	383.102949864		0.011651250255829311	0.09998968173817159	12	7	5	0	NotScheduled
23	1472	1366033529	009eaecd5fd8c08ae5a01d5564350af0fdd5cd692f7882de6a82e1b089a98621	0956ed3e7059abc134fd0562b32bc029a513376871ba8781a98ef737e1d614c0	da5ca39d9c3f0cad5e258c60bb5ca6d0963fea4bacd8af03f56e95aff6b52562	f42bef39d9077a5e6f31bed72a7e8573b4b87d7d5610235ccb03e3729e3c4ac1	379.684291512		0.01236685681253432	0.09202675435795307	12	7	5	0	NotScheduled
24	1536	1366033529	550a981aac1d3ef6d1881a077c51b792a67bfabea17c5039eb190d68d4fa4326	f335f6bdcd42bf31bbca8586e9e27706f46028483fb65ed204b7f2eeedfa51c7	11e387b1f52945848250828d0733cfe801f427f4ba96f8db29e0a8f214c28e53	f1b7b13c667063a2ceede2a1cc9ecb46d21a38144cbba8800bb93647bb67fb9c	359.405292687	291.698691092	0.01436500287754328	0.06757510589272224	12	7	5	0	Scheduled
25	1600	1366033529	aed2aed9e5fc782ed59232b2ddad02e03ef8b42cb84728213418888ae7cbd414	97052cfeca94cbb3a441ca053755cdf65dc253385d0c84cbcd8c01e9cf60a1da	4d0218e7bbffa6d65f68eec633f1e9af4303068cfc8d69f0e1b6222668418be2	fad7813b6ccc872179137a973e0954a828d1a47f6c4986e658bd7700196544d8	389.438305246		0.017488901951466917	0.04928701926440968	12	7	5	0	NotScheduled
26	1664	1366033529	95618372fca7a4d625e48aa8c4fce7b58c04293bba368a05656b52615618b3e4	273fef4210319f8f3bd9c9d84a57240b7463bb758f098784ff1fc06b1f19f8ce	045665bf81eecf5e6734bdadc83be983b172c7fcdb3520683fabac7c00a4610e	2e1a93ffda02914d81382693f545b439e60719710498b17face71f55a06bf65a	415.392645648		0.019274164615401764	0.09628066029915869	12	7	5	0	NotScheduled
27	1728	1366033529	9bba508e39c5177cb09dabe29f32812490ecba48a3db7f349fc0eb50bd88e47d	50edcf2f2609e0ac235011992792f62fb7e340bd1698b7b9f09c3bc6125c2865	40c02fb761531c51480dfde5330637f1e724466a0d297d434229d476a1b79ba6	1cb7a9e3126052089455aa41f2491e9c0b58595501c80006bcfced3bc6a95db7	378.780515835		0.0216330489357592	0.15528757986479946	12	7	5	0	NotScheduled
28	1792	1366033529	a2ccb6311a33a02f14c679ce284e47693ad0eb973c85ddc2128e2c2215ad9833	034edebefdd18fa57e7153eecf76be13a4e2e003b130064b7fb3f009f4ff39fd	1f29b7edce653992dfcfc29f63ea3ee41e3d5fd3b62be1ee139228c612c28ae3	00432c0117f9330b76ceb0226c6ba1ba4c6bc297dd1f45a0cc01ac1a1f0afb48	377.08021609		0.03911337458512942	0.16272025276943267	12	7	5	0	NotScheduled
29	1856	1366033529	70892c35a0f72819f625e51b58ba381cd3c851f956fa585cda47187d74fcd16c	aa40df82a33dd7cadd25a09de07692b163c62447c13b0897dda420775e0ad12f	4e2e8d8307a529f6a7a4aa3a532fb43e03485868287698ce02047bd8c95caaae	2332477d449ea50d0a4f5952aa69b628b37230e72ab654f1ec4f7200e7080e66	369.365525183		0.039713490684604114	0.09544100036004452	12	7	5	0	NotScheduled
30	1920	1366033529	fd7c8c3839c6c14604849e860db1624fa67822514cf77ffe42fccd6c7198ba9b	a7a6564082a0f162b4244657403abdd3f411f47f59cbfe04739e12020af4e71f	59e58e6c1d03dd169ca6fa771e5b9dc7cb5ddccee4348e761a1193fab95f1182	49841013c4466f4b22f5f8195decbb8e46179576aa9facededaf1b599789cfa5	375.02905784		0.03390647942442694	0.035848472700918545	12	7	5	0	NotScheduled
31	1984	1366033529	0fa9b76575565e60c4896e41ff805c518d30bfa3566e9e2e770128632abde9c1	e31bc755a582f1c93d4b1474999f84f27d8d17bb62409c95a2f3642df239092f	8da999e76a89740765b9c42b3d609fb9d5a3b0d7c1affbbacef0b67e21eb240e	dec8050bbf3c4e25979ce5b7bb7e6f5e2b80706d14f35b11739a0f2a47b6e2bb	384.875848541		0.006895458722253529	0.007711409217648979	12	7	5	0	NotScheduled
32	2048	1366033529	25307e71e89cfbdf5ea677efe0c5c8c161e99b4518aa435e431ba553976cdeaa	461e6f2a95eb578558493bbacebc5456c7e8a3e8f8fb933ac0176a23a3f67cad	276b9b0cd89926c94d263bffd8a45793726a61c5eff48aab74466d16c326ca37	f57d5f0ac72bed358efed22a38d87f6bcc36c369101a68808a019c22ef8f6d6b	357.695375502	268.774181783	0.0001142891948575364	0.0010866498417932329	12	7	5	0	Scheduled
33	2176	1366033529	dc1beccd8a3c56c2073616296e95e7bc307a7c8aa7324f6f7cb02644679679cc	7b3764ebc70ceeac2aee0c4f63abaa7d9ceebc159eb67f38f92c693601e2c272	3a7fc46d4ad82b65df3b210ab15689f3ee6fda52adb1364115906c642e3b5617	ea6c437bafb6f90dff5432dce805448e14bc0a35409f205bafd17f521263241b	361.490995328		0.0008877622374621473	0.0066167688410576275	12	7	5	0	NotScheduled
34	2304	1366033529	34f7ec640869c1242d1cf7f4a9ae32f76d42f29655ce05d1420a3b544df9bd94	772de228c8e4d04cf031599a3f570def89cb97179a0dea402d72c13b6de9b8f7	902b6813b149865a40c37a10a4516a874815f01627dae7c3d66d1032ed44815e	474a882b6899aac603906a6d5c1c4394b51d1ebb1ece0793a84c14d806ebec1a	353.706904107		0.0008975881906301384	0.006678940787593291	12	7	5	0	NotScheduled
35	2432	1366033529	21642dca8a16a26d5da9f4f7b93ef300b6ca2b3550650f7a5c5828a95191ceaf	2dbf657973e686414c7ddc5f486d56a88424de8ffa6f72958a9b78eeea332edc	d25dc7727fd0ccedbc45da5b099af198e6278c35776ba9dc9a36a093eeadc55b	4c9cf3c5ec21105abf416c65c9dc1062bcbcab4133f4b5418d39ca230d5ed656	347.443451491		0.0009077995961894411	0.006741816827258237	12	7	5	0	NotScheduled
36	2560	1366033529	c2d73550c5ee1465800fc43780e74ea5307b8bdcf7f395e8cbcad7b0c14e15c6	bb675ddbf0217d397df4f137250c8ff870454e07965b41b642d7a3a19f766406	cc2e9108a68c5450db4ebe97c9e87de7aa22430e6fca214a5651513e4a27bef7	954c232b0ea140d1a009f55eefd1dd4639ad8915d8fbd4d0392fca44ff06de8f	356.922812791	274.407332238	0.0009184730361853721	0.00680551142243536	12	7	5	0	Scheduled
37	2688	1366033529	dffd92d7763ca4e9d7a5dfafbb3530e004b7fcbad90ae2a9f50882ca3fe27b0b	7be1d11ef199c3e6254bcfd44c99ba914faf2fdbcf3a935f6deecba81b92ddc2	510b28af7897ef71a3af6b717e65659fe91a5a87b74ef41d9454d498acc66f04	21a23dc2e80cea4d6a0e8f9f5e489392d4357d64e90999c1079a73f3bc8a3baa	354.920009731		0.0009297011901399292	0.006870124454858105	12	7	5	0	NotScheduled
38	2816	1366033529	bb4601db5067366b2ad83f9cab74d628b2d2a2cf49b9e14f155e9a3a8c657930	41ba8b509210ae4cbc2f943f521d454b8163a19950bdfcf1ce362fcd0ca28972	880e2ff1db4d273ba0c1e5a1374d8ecfaa0b710b34523933e7687fdcf872ac7f	e13214824a125a1a06545c124e4cc9e943fa1efbfa51cc15020430762de06357	349.481993544		0.0009416026630704944	0.006935791786813124	12	7	5	0	NotScheduled
39	2944	1366033529	e912c517ca6b8117dd585e8b3efd5b055d23b0a7abfcb4f551a1d94a7a5b699e	2e6ebade4bbab22b0d87f21037f38b446f32be2379e8fac1d78bbff55940af98	aae31586970568fe288429526e2cc6b33bab85c31b57c9655ff549543dd50875	403239e88bfe018a2bf8df8a095896b910b1a6dc91f014ec3d77ddbcb13b7ac2	335.408286618		0.0009543301656677942	0.007002699883631111	12	7	5	0	NotScheduled
40	3072	1366033529	7bae7d6749f209a89bd990ea70befdffbdfd6e577d80e27107b4537ca082a8bd	bf48328467b01d96dcd9d7412b889710e7801d7e5f5e6955f451e16890fb74ac	07537180a3f877b45526be38d29e12cdea7a21c1df40ac3ce1e79faadff9591b	d2c086e8a2a176d01bc1d6b333e7c211c26955ff7dab8933b972ad8630136218	351.382979965	271.10895753	0.00096808124675117	0.007071104898844386	12	7	5	0	Scheduled
